2015-03-26,62,54,69,55,75,30,94,1955,1928,0.09,0.12,2.23
2015-03-28,65,47,82,55,76,33,89,1931,1972,0,0.11,1.99
2015-04-10,68,61,74,58,79,31,92,1973,1963,1.74,0.11,2.57
2015-04-14,70,64,76,59,79,39,89,1980,1996,0.12,0.11,3.52
2015-04-17,74,64,83,60,80,38,92,1999,2006,1.1,0.11,1.9
2015-04-19,72,58,86,60,80,40,92,1901,1987,0.54,0.11,2.77
2015-04-20,67,59,74,61,81,39,93,2013,1987,0,0.11,2.7
2015-04-23,79,69,88,61,81,44,91,1998,1999,0,0.11,2.4
2015-04-26,76,67,85,62,82,46,91,1978,1988,0,0.12,3.52
2015-04-29,65,52,78,63,82,46,92,2008,1987,0,0.13,2.86
2015-05-01,71,57,84,64,83,45,94,1908,1947,0,0.15,4.11
2015-05-04,73,61,84,65,84,42,94,2013,1890,0,0.16,1.72
2015-05-06,78,73,83,65,84,49,94,2013,1906,0.41,0.17,5
2015-05-07,80,74,85,65,84,47,94,1891,1998,0,0.17,2.61
2015-05-13,75,68,81,67,86,50,94,1895,1907,1.55,0.16,3.44
2015-05-15,79,73,84,68,86,49,92,1890,2003,0.15,0.18,4.64
2015-05-20,81,73,89,69,87,48,95,1894,2008,0.31,0.16,4.17
2015-05-21,77,71,82,69,88,53,96,1892,2005,1.08,0.15,5.45
2015-05-27,76,65,86,70,89,50,98,1901,1928,1.41,0.17,3.99
2015-05-29,80,70,89,71,89,58,99,1984,1996,0.01,0.17,4.33
2015-06-10,84,74,94,73,91,57,100,1955,1902,0,0.19,2.92
2015-06-11,84,73,94,73,91,61,101,1976,1902,0.01,0.21,5.63
2015-06-20,84,77,90,74,92,62,101,1976,1902,0.2,0.21,1.99
2015-06-21,86,78,93,74,92,59,100,1976,1998,0,0.21,2.04
2015-06-24,84,74,93,74,92,61,104,1904,2009,0,0.21,4.47
2015-06-27,83,73,93,75,92,57,102,1974,1980,2.38,0.19,2.5
2015-06-28,82,73,90,75,93,59,102,1974,2009,2.24,0.19,2.98
